127.0.0.1 - - [14/Jul/2023:14:30:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:30:17 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:30:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:40:37 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:40:38 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:40:39 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:40:45 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:42:30 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:42:34 +0900] "GET /JSP/ex01JSPTest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:48:57 +0900] "GET /JSP/ex02hap100.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:19:11 +0900] "GET /JSP/ex03table.jsp HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:19:51 +0900] "GET /JSP/ex03table.jsp HTTP/1.1" 200 497
